"","NodeNames","Score","position","type","seed","lab","description","source"
"221","GO:0005634",7.3169731535662e-06,22,"CC","AC203398.3_FG001","GO:0005634","nucleus (CC)","CC"
"222","GO:0005634",2.75020431043209e-05,20,"CC","AC206836.3_FG001","GO:0005634","nucleus (CC)","CC"
"223","GO:0016020",4.78781993544067e-05,18,"CC","AC208212.3_FG001","GO:0016020","membrane (CC)","CC"
"224","GO:0005634",1.40389594610003e-05,20,"CC","AC213981.3_FG001","GO:0005634","nucleus (CC)","CC"
"225","GO:0005634",0.00013398282125682,19,"CC","AC217270.3_FG004","GO:0005634","nucleus (CC)","CC"
"226","GO:0009507",0.000769347650340616,4,"CC","GRMZM2G071698","GO:0009507","chloroplast (CC)","CC"
"227","GO:0009507",0.00629336171258453,8,"CC","GRMZM2G091837","GO:0009507","chloroplast (CC)","CC"
"228","GO:0016020",0.000440351633493091,23,"CC","GRMZM2G102933","GO:0016020","membrane (CC)","CC"
"229","GO:0009507",0.00256449217623082,4,"CC","GRMZM2G110553","GO:0009507","chloroplast (CC)","CC"
"230","GO:0005634",0.000446609402156562,19,"CC","GRMZM2G113869","GO:0005634","nucleus (CC)","CC"
"231","GO:0009536",0.00779506726910478,2,"CC","GRMZM2G120475","GO:0009536","plastid (CC)","CC"
"232","GO:0009507",0.000428936380128395,12,"CC","GRMZM2G137964","GO:0009507","chloroplast (CC)","CC"
"233","GO:0005634",0.00847682137737171,6,"CC","GRMZM2G174819","GO:0005634","nucleus (CC)","CC"
"234","GO:0005829",0.00135341634430467,51,"CC","GRMZM2G174827","GO:0005829","cytosol (CC)","CC"
"235","GO:0009536",0.00392897015713941,9,"CC","GRMZM2G176354","GO:0009536","plastid (CC)","CC"
"236","GO:0005634",4.67965342286937e-05,20,"CC","GRMZM2G430029","GO:0005634","nucleus (CC)","CC"
"237","GO:0009507",0.000126091094640977,15,"CC","GRMZM2G482662","GO:0009507","chloroplast (CC)","CC"
"238","GO:0009536",0.00395897700644392,6,"CC","GRMZM2G588266","GO:0009536","plastid (CC)","CC"
"239","GO:0005634",0.00347716553917894,8,"CC","GRMZM2G701576","GO:0005634","nucleus (CC)","CC"
"240","GO:0009507",0.000420303643663382,15,"CC","GRMZM2G703772","GO:0009507","chloroplast (CC)","CC"
"241","GO:0005634",0.00104314966121584,8,"CC","GRMZM5G857998","GO:0005634","nucleus (CC)","CC"
"242","GO:0016020",0.00562539445095935,13,"CC","AC207342.3_FG008","GO:0016020","membrane (CC)","CC"
"243","GO:0009507",0.00661799282715683,3,"CC","GRMZM2G004036","GO:0009507","chloroplast (CC)","CC"
"244","GO:0005634",0.000871790223413624,57,"CC","GRMZM2G005849","GO:0005634","nucleus (CC)","CC"
"245","GO:0016020",0.00877228659096089,5,"CC","GRMZM2G020508","GO:0016020","membrane (CC)","CC"
"246","GO:0005737",0.00451330241738223,6,"CC","GRMZM2G063679","GO:0005737","cytoplasm (CC)","CC"
"247","GO:0005576",0.000682006635385364,110,"CC","GRMZM2G316474","GO:0005576","extracellular region (CC)","CC"
"248","GO:0005886",0.0233006802584866,2,"CC","GRMZM2G413750","GO:0005886","plasma membrane (CC)","CC"
"249","GO:0016021",0.00659419862292111,24,"CC","GRMZM5G893864","GO:0016021","integral component of membrane (CC)","CC"
"250","GO:0008168",0.000435823659557157,10,"MF","AC185468.3_FG002","GO:0008168","methyltransferase activity (MF)","MF"
"251","GO:0035250",0.000121340407328222,19,"MF","AC195351.3_FG001","GO:0035250","UDP-galactosyltransferase activity (MF)","MF"
"252","GO:0016787",0.0058317532775353,6,"MF","AC198118.4_FG001","GO:0016787","hydrolase activity (MF)","MF"
"253","GO:0005515",0.0133941434362022,2,"MF","AC203090.3_FG001","GO:0005515","protein binding (MF)","MF"
"254","GO:0035250",1.8774835297324e-05,19,"MF","AC204940.3_FG005","GO:0035250","UDP-galactosyltransferase activity (MF)","MF"
"255","GO:0016747",0.0069514452086649,2,"MF","AC205008.4_FG001","GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups (MF)","MF"
"256","GO:0030246",2.79798175576046e-05,17,"MF","AC206853.3_FG002","GO:0030246","carbohydrate binding (MF)","MF"
"257","GO:0016491",7.58083921985667e-05,22,"MF","EF517601.1_FG003","GO:0016491","oxidoreductase activity (MF)","MF"
"258","GO:0003824",0.00143684332453991,43,"MF","GRMZM2G004683","GO:0003824","catalytic activity (MF)","MF"
"259","GO:0004568",0.00128456094541677,13,"MF","GRMZM2G010909","GO:0004568","chitinase activity (MF)","MF"
"260","GO:0003700",0.00327365974606287,5,"MF","GRMZM2G022699","GO:0003700","DNA-binding transcription factor activity (MF)","MF"
"261","GO:0005524",0.00463418857839242,7,"MF","GRMZM2G029087","GO:0005524","ATP binding (MF)","MF"
"262","GO:0008417",0.00382508160778582,6,"MF","GRMZM2G036807","GO:0008417","fucosyltransferase activity (MF)","MF"
"263","GO:0004559",0.00680698919546106,7,"MF","GRMZM2G038973","GO:0004559","alpha-mannosidase activity (MF)","MF"
"264","GO:0042626",0.00259949795542549,2,"MF","GRMZM2G049912","GO:0042626","ATPase activity, coupled to transmembrane movement of substances (MF)","MF"
"265","GO:0016787",0.00549800049621705,4,"MF","GRMZM2G052100","GO:0016787","hydrolase activity (MF)","MF"
"266","GO:0015171",0.000930644894197872,12,"MF","GRMZM2G054900","GO:0015171","amino acid transmembrane transporter activity (MF)","MF"
"267","GO:0022857",0.000577627595883989,17,"MF","GRMZM2G057841","GO:0022857","transmembrane transporter activity (MF)","MF"
"268","GO:0008236",0.00240691826815804,8,"MF","GRMZM2G068763","GO:0008236","serine-type peptidase activity (MF)","MF"
"269","GO:0015171",0.00310214965222808,12,"MF","GRMZM2G076938","GO:0015171","amino acid transmembrane transporter activity (MF)","MF"
"270","GO:0016788",0.00103006467474481,69,"MF","GRMZM2G085176","GO:0016788","hydrolase activity, acting on ester bonds (MF)","MF"
"271","GO:0005515",0.00569616496764908,5,"MF","GRMZM2G092169","GO:0005515","protein binding (MF)","MF"
"272","GO:0003677",0.00258905562396872,10,"MF","GRMZM2G100003","GO:0003677","DNA binding (MF)","MF"
"273","GO:0016491",0.00664194361001675,3,"MF","GRMZM2G100372","GO:0016491","oxidoreductase activity (MF)","MF"
"274","GO:0004842",0.0340225197102503,2,"MF","GRMZM2G102961","GO:0004842","ubiquitin-protein transferase activity (MF)","MF"
"275","GO:0005515",0.00571391415955372,4,"MF","GRMZM2G105417","GO:0005515","protein binding (MF)","MF"
"276","GO:0008236",0.000722075481682017,8,"MF","GRMZM2G123544","GO:0008236","serine-type peptidase activity (MF)","MF"
"277","GO:0008236",0.00144934082182245,3,"MF","GRMZM2G138370","GO:0008236","serine-type peptidase activity (MF)","MF"
"278","GO:0016491",0.00149038560964208,41,"MF","GRMZM2G141260","GO:0016491","oxidoreductase activity (MF)","MF"
"279","GO:0022857",0.00434578440459791,2,"MF","GRMZM2G145313","GO:0022857","transmembrane transporter activity (MF)","MF"
"280","GO:0015171",0.00760309591684133,4,"MF","GRMZM2G145974","GO:0015171","amino acid transmembrane transporter activity (MF)","MF"
"281","GO:0005515",0.00858369433788998,4,"MF","GRMZM2G160710","GO:0005515","protein binding (MF)","MF"
"282","GO:0005524",0.00613685521940921,2,"MF","GRMZM2G162829","GO:0005524","ATP binding (MF)","MF"
"283","GO:0005524",0.000360529527222291,84,"MF","GRMZM2G175874","GO:0005524","ATP binding (MF)","MF"
"284","GO:0005524",0.00371279329255475,4,"MF","GRMZM2G329002","GO:0005524","ATP binding (MF)","MF"
"285","GO:0005524",0.00260388663325272,2,"MF","GRMZM2G345544","GO:0005524","ATP binding (MF)","MF"
"286","GO:0003676",0.00817488521437218,2,"MF","GRMZM2G355572","GO:0003676","nucleic acid binding (MF)","MF"
"287","GO:0005524",0.000372460267861625,2,"MF","GRMZM2G380738","GO:0005524","ATP binding (MF)","MF"
"288","GO:0003677",0.0086301854307783,10,"MF","GRMZM2G448142","GO:0003677","DNA binding (MF)","MF"
"289","GO:0051082",0.00246241837678676,20,"MF","GRMZM2G448368","GO:0051082","unfolded protein binding (MF)","MF"
"290","GO:0005524",0.00304853477543003,3,"MF","GRMZM2G457287","GO:0005524","ATP binding (MF)","MF"
"291","GO:0004672",0.0130118608642528,4,"MF","GRMZM2G474033","GO:0004672","protein kinase activity (MF)","MF"
