"Table S5. LC-TOF-MS mass signatures that were significantly altered for at least one aphid feeding time point, P value < 0.05 FDR, fold change < 0.5 or > 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Con-early = controls harvested at the beginning of the experiment, Con-late = controls harvested at the end of the experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion mode,m/z,Retention time,Con-early-1,Con-early-2,Con-early-3,Con-early-4,Con-early-5,Con-late-1,Con-late-2,Con-late-3,Con-late-4,Con-late-5,2h-1,2h-2,2h-3,2h-4,2h-5,4h-1,4h-2,4h-3,4h-4,4h-5,8h-1,8h-2,8h-3,8h-4,8h-5,24h-1,24h-2,24h-3,24h-4,24h-5,48h-1,48h-2,48h-3,48h-4,48h-5,96h-1,96h-2,96h-3,96h-4,96h-5
Negative,602.3258132,1178.474412,0.504,0.596,0.940,1.483,1.476,0.868,1.380,1.395,1.109,0.248,1.030,1.040,1.450,1.230,1.890,0.515,0.845,0.524,0.285,0.610,0.874,0.963,1.194,2.083,1.662,0.353,0.562,0.662,1.439,1.168,0.147,1.032,0.980,0.775,1.794,1.817,1.839,1.483,2.501,2.410
Negative,597.2169979,404.8716866,0.112,0.978,1.562,1.398,0.950,1.501,2.883,0.513,0.000,0.104,1.910,2.350,1.080,3.880,24.490,3.256,3.365,3.046,1.319,3.728,8.512,11.784,1.286,10.064,10.310,1.212,2.286,0.656,5.057,2.216,1.699,6.175,2.063,6.231,11.992,2.270,1.074,1.346,3.023,1.123
Negative,596.952272,87.80816383,0.533,0.958,0.471,1.449,1.589,2.160,1.595,0.923,0.060,0.261,0.450,0.680,0.430,0.560,2.040,1.271,0.815,1.390,1.784,1.559,3.501,2.821,1.370,1.861,3.032,0.712,0.792,1.533,0.822,0.657,0.000,1.360,0.018,0.417,5.161,1.410,2.179,1.031,1.835,2.134
Negative,595.287976,1282.630233,1.567,3.414,0.000,0.018,0.000,0.206,0.239,0.000,4.555,0.000,0.720,0.750,0.010,0.000,0.000,0.784,0.813,0.000,0.000,0.004,0.253,0.555,0.000,6.412,0.022,1.228,0.745,0.000,0.000,0.011,0.352,0.365,0.001,0.001,0.037,0.798,0.190,0.000,0.000,0.009
Negative,595.1521796,326.1311915,0.600,1.641,0.327,1.470,0.962,1.554,2.114,0.787,0.546,0.000,2.540,2.140,1.460,1.580,1.800,1.025,1.491,1.058,1.409,2.532,1.948,2.155,1.331,2.787,2.303,0.390,1.925,0.270,0.826,1.766,0.956,1.460,1.575,1.103,2.140,2.181,1.950,1.752,2.213,2.001
Negative,248.9610536,1633.314198,1.075,1.324,0.931,1.363,0.308,1.781,0.444,2.228,0.475,0.072,0.630,0.980,0.940,1.090,0.370,1.009,0.216,0.000,1.127,0.000,0.071,0.804,0.961,0.242,0.482,0.888,0.000,0.482,0.994,0.453,0.474,0.000,0.890,0.416,0.239,0.735,0.565,1.052,0.243,0.585
Negative,593.2639398,918.2966116,0.924,0.871,1.901,1.075,0.230,1.114,1.849,1.962,0.064,0.012,1.770,2.100,1.540,1.680,0.660,2.442,1.545,2.031,0.514,1.117,3.556,2.632,1.420,0.035,1.212,1.487,1.469,1.331,2.049,0.799,2.263,3.611,2.862,0.975,1.376,2.517,2.037,1.744,2.391,2.767
Negative,593.2636945,884.7835303,0.827,1.017,0.033,1.905,1.218,1.092,2.009,0.430,1.427,0.042,2.270,2.010,1.710,2.990,1.710,2.977,2.033,0.049,1.110,4.592,3.166,2.137,0.231,1.740,4.429,1.641,2.023,2.404,0.906,2.334,2.359,3.082,0.209,0.806,3.964,2.360,1.837,2.738,1.986,1.623
Negative,593.1718177,618.6734852,0.645,0.928,1.039,1.420,0.968,1.336,1.241,1.493,0.881,0.049,1.520,1.950,1.490,2.000,1.460,1.743,0.967,1.350,1.021,1.028,2.175,1.689,2.083,1.985,2.408,1.226,1.161,1.505,1.447,1.676,1.228,2.386,1.700,1.629,0.973,2.337,1.836,1.914,4.612,2.837
Negative,592.1664264,352.0442116,0.619,0.908,1.024,1.247,1.201,1.186,1.584,0.697,1.396,0.137,1.230,1.680,0.890,2.070,1.890,1.461,1.695,1.013,2.416,1.757,2.358,1.531,1.177,3.291,2.694,0.669,1.227,1.012,3.009,3.658,1.308,1.355,1.426,1.382,3.524,2.130,1.492,1.569,2.164,1.915
