"Table S5. LC-TOF-MS mass signatures that were significantly altered for at least one aphid feeding time point, P value < 0.05 FDR, fold change < 0.5 or > 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Con-early = controls harvested at the beginning of the experiment, Con-late = controls harvested at the end of the experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion mode,m/z,Retention time,Con-early-1,Con-early-2,Con-early-3,Con-early-4,Con-early-5,Con-late-1,Con-late-2,Con-late-3,Con-late-4,Con-late-5,2h-1,2h-2,2h-3,2h-4,2h-5,4h-1,4h-2,4h-3,4h-4,4h-5,8h-1,8h-2,8h-3,8h-4,8h-5,24h-1,24h-2,24h-3,24h-4,24h-5,48h-1,48h-2,48h-3,48h-4,48h-5,96h-1,96h-2,96h-3,96h-4,96h-5
Negative,515.1392851,159.8217059,0.750,0.420,1.681,1.379,0.770,0.936,0.841,2.051,0.839,0.333,2.160,3.270,2.010,1.970,2.580,0.693,1.935,2.021,1.856,2.291,3.737,3.234,2.674,1.779,1.351,1.553,1.671,0.730,3.536,1.988,1.288,2.213,1.314,2.629,4.096,3.377,1.338,1.219,4.253,1.208
Negative,515.1238186,87.58140997,0.381,0.940,0.916,1.677,1.087,1.458,1.138,1.709,0.679,0.015,1.040,1.300,1.280,1.300,1.040,0.568,1.335,1.209,0.947,0.857,1.153,0.983,1.494,2.963,1.694,0.653,1.135,0.285,1.049,0.992,0.032,1.057,0.777,0.560,1.809,2.677,1.946,1.745,2.668,2.189
Negative,515.0142134,71.22662639,0.623,0.564,1.106,1.120,1.587,0.455,0.978,1.287,1.274,1.007,0.740,1.030,0.690,0.660,0.290,0.255,0.512,0.202,0.038,0.034,0.415,1.053,0.566,0.240,0.333,0.893,0.829,0.565,0.506,0.247,0.773,0.901,0.093,0.417,0.674,0.507,0.838,0.795,0.800,0.742
Negative,513.1976678,781.0182738,0.731,0.872,2.545,0.246,0.607,0.785,1.792,1.559,0.842,0.022,2.270,2.950,3.090,2.320,3.200,0.753,4.061,1.412,1.768,1.965,0.973,1.432,1.804,3.287,2.785,2.537,1.647,1.957,1.969,3.498,1.581,1.353,1.526,2.860,4.309,2.862,2.630,2.389,5.006,2.430
Negative,507.1611036,362.8123725,0.983,0.947,1.637,0.668,0.765,1.556,1.205,0.528,1.554,0.157,1.560,3.700,1.900,2.490,2.610,3.479,4.125,1.470,3.500,5.590,2.739,3.607,2.155,2.901,3.604,1.609,1.591,0.831,2.196,4.046,2.613,3.191,3.354,2.795,5.930,4.363,1.322,1.011,3.245,1.898
Negative,203.0825059,221.2072349,1.544,1.588,0.799,0.343,0.726,0.677,2.416,1.100,0.545,0.262,2.150,4.080,2.550,6.140,4.930,3.349,3.770,7.347,2.981,4.440,2.429,4.591,6.280,2.160,3.161,3.688,2.817,3.640,4.428,0.916,4.268,2.633,7.329,5.646,1.754,1.436,2.251,4.441,4.514,2.914
Negative,506.2600535,1273.303402,1.555,3.405,0.000,0.000,0.040,0.274,0.343,0.000,4.382,0.000,1.000,1.080,0.000,0.000,0.040,0.998,1.018,0.000,0.000,0.000,0.680,0.649,0.000,7.679,0.036,1.642,1.253,0.002,0.000,0.038,0.408,0.561,0.000,0.000,0.041,1.019,0.365,0.000,0.000,0.002
Negative,505.2561155,1273.104265,1.124,3.876,0.000,0.000,0.000,0.244,0.202,0.000,4.555,0.000,0.860,0.850,0.000,0.000,0.000,0.980,1.148,0.000,0.000,0.000,0.418,0.705,0.000,7.161,0.000,1.354,1.801,0.000,0.000,0.000,0.350,0.698,0.005,0.000,0.000,0.631,0.485,0.000,0.000,0.000
Negative,502.2931104,1123.606775,0.561,1.064,1.811,0.728,0.836,0.959,1.005,0.978,1.802,0.257,1.850,1.290,1.910,2.070,1.780,1.646,1.715,2.300,2.030,2.903,1.676,2.032,2.131,1.822,1.698,1.521,0.954,2.415,1.636,2.902,1.311,1.547,1.439,1.481,3.344,1.803,0.456,1.814,2.908,2.033
Negative,501.9195237,60.72997949,0.726,1.301,0.392,2.426,0.154,0.781,2.780,0.000,0.231,1.207,4.320,2.950,1.910,1.340,6.570,4.075,4.563,2.444,3.018,4.098,5.290,7.899,2.740,3.637,3.643,3.053,2.982,2.510,2.017,2.028,2.777,5.660,4.031,2.609,4.154,3.324,2.396,3.588,4.140,2.634
Negative,497.2028766,866.868806,0.818,1.252,1.950,0.069,0.911,1.332,1.079,1.201,1.076,0.314,1.250,2.610,4.060,1.960,3.250,0.548,3.319,1.225,2.133,1.621,1.447,1.787,1.809,4.425,1.691,2.430,1.499,1.648,2.115,6.184,1.124,0.856,2.106,3.084,3.765,2.686,1.585,1.665,4.285,1.853
Negative,491.3211894,1449.112605,0.315,1.130,1.753,1.026,0.777,1.135,1.382,1.606,0.876,0.000,1.970,2.510,1.740,1.890,2.300,1.308,2.528,1.210,1.463,2.977,1.406,2.156,2.357,3.023,4.029,1.263,1.844,1.779,2.362,4.063,1.114,1.775,3.038,2.304,4.278,2.486,1.468,1.537,1.808,2.259
Negative,489.1968773,314.1499434,0.852,1.182,1.507,0.774,0.685,1.226,1.787,0.207,1.492,0.288,1.810,3.190,3.460,5.120,4.410,4.821,6.693,0.512,2.308,5.404,5.910,4.972,3.129,3.666,2.961,4.427,4.281,0.796,4.640,2.036,3.833,7.273,6.368,6.676,4.852,5.075,1.205,2.305,5.654,2.430
Negative,487.2899761,1273.151311,0.459,0.476,2.076,0.562,1.426,0.033,4.225,0.631,0.082,0.029,1.190,2.950,2.430,5.500,4.190,5.160,12.251,20.737,10.921,7.242,2.542,5.628,4.049,2.436,6.170,4.153,7.405,8.323,10.047,4.511,2.787,12.856,5.507,20.806,8.722,3.784,1.116,0.989,2.209,4.101
Negative,481.0286147,335.2685001,0.672,1.627,0.523,1.036,1.141,0.953,0.911,1.110,1.980,0.046,2.270,1.230,0.810,1.730,2.910,1.134,1.423,0.794,1.405,2.425,1.743,1.464,1.476,2.612,2.782,1.287,0.941,0.817,1.412,1.771,0.697,1.536,1.285,1.923,3.898,1.260,1.370,1.412,2.185,1.680
Negative,478.3167529,1560.022747,0.125,1.233,0.655,1.853,1.135,0.687,1.289,1.185,1.819,0.020,1.380,0.550,0.210,1.270,4.070,0.944,1.677,1.106,1.842,2.299,2.062,2.195,1.563,1.194,3.414,0.924,1.037,0.778,1.177,1.068,1.090,1.434,1.586,0.997,3.683,1.607,1.112,1.233,0.752,2.326
Negative,471.0932204,635.4564572,3.816,1.184,0.000,0.000,0.000,0.672,2.083,0.252,1.862,0.131,1.140,3.740,0.000,0.300,2.140,7.801,5.808,1.036,0.908,12.491,1.848,2.776,1.906,0.000,0.012,3.617,2.391,0.288,0.082,3.511,1.858,1.998,1.844,1.855,2.993,0.581,1.906,1.558,0.439,2.419
Negative,467.0128374,226.3285732,0.313,0.677,0.982,1.835,1.193,2.253,1.128,0.709,0.908,0.002,1.950,2.320,1.930,2.420,2.790,1.835,1.645,1.707,0.070,2.632,2.455,3.159,2.356,1.741,3.230,1.581,1.140,1.690,1.372,3.615,0.000,2.267,1.723,1.978,5.943,2.260,1.513,1.864,3.892,3.374
Negative,466.9673016,87.56530405,1.165,3.790,0.045,0.000,0.000,2.492,2.127,0.380,0.000,0.000,4.950,3.430,0.000,3.510,3.260,4.913,13.759,0.323,1.466,4.739,5.936,9.689,3.906,5.596,0.463,2.942,8.469,5.856,7.665,6.450,0.000,4.752,0.003,0.000,6.529,5.681,5.582,4.081,2.841,0.044
Negative,455.1017488,390.7398506,0.477,0.967,1.378,0.998,1.179,1.874,1.399,1.022,0.367,0.338,2.220,1.670,2.590,1.610,1.260,1.236,1.516,0.942,0.365,2.790,2.376,3.461,1.988,1.792,2.616,1.932,1.471,0.679,2.285,1.405,0.720,1.617,1.486,0.423,2.115,2.582,1.583,1.177,2.313,1.872
Negative,453.2131675,866.5312864,0.437,1.396,1.996,0.254,0.916,0.964,1.163,1.716,0.901,0.257,1.670,2.380,3.440,1.450,2.820,0.757,1.896,0.953,2.347,1.784,1.313,1.639,2.006,4.049,2.798,2.102,0.280,1.921,2.497,5.900,1.365,1.353,1.716,2.245,4.091,2.858,0.909,1.125,4.022,1.952
Negative,452.9228934,1728.075547,0.093,1.150,1.976,1.272,0.509,1.705,0.850,1.364,0.345,0.736,0.790,0.990,2.930,0.450,0.650,0.053,0.061,0.619,0.851,0.452,0.864,0.490,1.221,0.456,0.708,0.930,0.000,1.157,1.299,0.053,1.150,0.956,1.201,1.303,0.692,0.071,0.929,0.496,0.439,0.000
Negative,452.0557604,195.9196276,0.588,0.579,0.757,2.168,0.908,1.487,1.179,0.441,1.573,0.320,2.190,1.360,0.440,1.510,2.650,0.641,1.490,1.086,1.217,1.824,1.321,2.428,1.609,2.823,2.903,1.119,1.098,1.333,1.948,1.842,0.564,1.485,0.909,2.035,4.501,1.267,1.056,0.977,2.034,2.439
Negative,449.2025307,235.2315958,0.611,0.947,1.122,1.087,1.234,1.146,1.203,1.513,0.901,0.237,1.150,2.840,2.340,3.210,3.950,3.215,3.459,2.762,2.965,4.425,2.563,3.291,2.453,3.445,3.695,2.445,1.710,1.825,3.126,4.488,3.455,3.429,3.920,3.783,6.050,3.756,1.466,1.667,4.886,2.279
Negative,448.1094913,477.8421226,0.500,0.813,0.879,1.048,1.760,1.064,0.976,1.107,1.584,0.270,0.740,0.500,0.900,0.610,0.840,0.409,0.276,0.532,0.420,0.673,0.706,0.763,0.679,0.531,0.711,0.712,0.593,0.786,0.956,0.821,0.486,0.753,0.837,0.780,0.623,0.642,0.829,0.727,0.432,1.044
Negative,445.2069758,314.0061479,0.482,1.430,0.394,0.582,2.113,0.703,2.439,1.402,0.207,0.249,1.810,5.150,2.350,6.420,4.720,5.419,10.111,4.023,3.083,8.584,5.153,3.921,2.378,7.219,3.022,3.814,4.971,3.897,6.138,4.523,5.322,4.553,2.122,5.054,6.291,6.140,1.873,2.342,5.661,4.168
Negative,441.0508692,149.0677723,0.340,0.970,0.768,1.667,1.255,0.990,1.502,1.026,1.481,0.000,2.150,1.450,1.710,2.890,2.820,1.085,1.107,1.934,1.900,1.857,1.749,2.927,1.247,1.955,1.015,1.104,1.156,0.822,1.450,2.079,1.109,1.219,1.123,1.485,3.668,1.679,1.655,1.721,3.434,1.907
Negative,440.8882287,57.17637547,0.860,1.356,1.058,0.150,1.575,0.526,1.069,0.933,1.150,1.322,0.220,0.890,0.160,0.780,0.310,0.150,0.642,0.518,0.519,0.752,0.597,0.491,0.334,0.510,0.954,0.426,0.825,0.484,0.273,1.079,0.443,0.318,0.499,0.771,0.693,0.464,0.904,0.789,0.868,0.965
Negative,440.0818115,81.28345382,0.261,1.037,1.348,2.180,0.174,0.643,1.026,0.649,0.543,2.139,0.650,1.000,1.560,1.120,0.200,0.460,0.797,0.291,0.053,0.050,0.207,0.943,0.283,0.699,0.699,0.021,0.535,0.204,0.676,0.206,0.475,0.805,0.433,0.347,1.346,1.061,0.955,1.024,0.807,0.799
Negative,189.0041016,227.1694322,0.428,1.439,0.840,1.432,0.860,1.952,1.111,1.053,0.864,0.021,1.520,1.930,1.760,1.350,1.780,1.542,1.103,1.292,1.321,1.303,2.497,2.779,1.797,1.565,2.262,1.629,0.830,1.039,1.234,1.542,0.078,1.618,1.445,1.307,4.100,0.591,1.276,1.671,2.324,2.337
Negative,433.2071947,410.2339525,1.384,1.430,0.284,1.512,0.390,1.921,1.915,0.498,0.444,0.222,2.070,2.040,0.470,2.210,2.610,4.382,4.307,5.465,2.861,3.538,1.984,3.625,1.304,1.879,1.385,3.368,3.330,4.379,2.137,3.968,2.116,2.398,2.493,1.962,2.384,2.570,1.757,0.588,3.257,2.524
Negative,433.2073926,315.2678259,1.179,0.861,0.998,0.959,1.002,1.288,2.023,0.657,0.598,0.434,2.500,3.260,2.150,3.020,3.970,3.635,4.542,3.222,2.047,2.398,3.315,3.747,0.582,2.661,3.309,3.034,2.915,3.861,3.182,6.084,2.105,3.639,1.777,3.706,3.992,3.941,2.082,0.993,5.082,1.918
Negative,432.195969,332.7487149,0.972,0.847,1.259,0.815,1.106,1.144,2.149,0.921,0.430,0.356,1.430,2.760,2.320,1.990,3.490,1.860,2.993,1.917,2.530,2.148,1.996,2.349,1.677,2.420,3.180,0.960,0.794,1.612,1.976,1.055,2.279,2.392,2.445,3.317,3.068,2.544,2.136,1.166,2.234,1.390
Negative,429.1789169,468.6985086,0.911,1.230,1.936,0.841,0.081,1.258,0.846,0.506,1.824,0.566,2.240,3.830,3.750,1.920,2.020,1.671,2.543,1.460,1.565,2.847,0.739,2.763,1.969,1.554,1.541,1.312,1.667,1.868,2.468,2.855,1.124,2.456,2.761,3.535,2.318,2.711,1.167,2.828,3.313,1.858
Negative,427.1970669,396.7485665,0.996,1.909,0.831,0.579,0.685,1.100,2.623,0.565,0.495,0.217,1.740,3.660,1.060,1.830,1.060,3.136,4.568,1.855,1.797,4.788,2.272,3.582,1.811,2.543,2.245,2.230,2.634,1.888,3.053,2.102,2.419,3.896,5.293,2.352,0.770,5.105,1.807,2.078,3.376,2.170
Negative,425.1789566,733.9734239,1.354,1.666,1.051,0.673,0.256,1.670,1.623,1.039,0.528,0.140,1.010,2.890,1.920,2.580,0.910,1.637,2.140,3.563,1.603,0.635,1.931,3.303,1.930,1.119,1.858,1.307,0.735,1.562,1.201,1.051,0.977,1.754,2.181,1.159,2.445,2.278,0.972,1.764,1.791,1.053
Negative,417.2096508,501.9516748,0.881,0.733,0.892,1.311,1.183,0.776,1.067,1.290,1.674,0.193,0.940,1.470,1.130,1.410,2.350,1.361,1.876,2.242,1.998,2.760,1.539,1.672,1.823,1.995,2.252,1.253,1.256,1.506,1.868,2.458,1.002,1.292,1.775,1.390,2.358,1.539,1.248,1.080,2.766,2.406
Negative,417.1667629,343.1908732,0.805,0.701,1.702,0.896,0.897,0.854,1.612,1.233,0.949,0.352,0.960,0.870,1.900,1.690,1.940,1.830,1.812,2.679,1.724,2.735,1.655,2.282,1.600,1.516,1.103,1.351,1.427,1.955,2.072,2.024,1.023,1.621,1.800,2.377,3.162,1.984,1.103,1.597,2.472,1.544
Negative,416.1633965,315.1286076,1.001,1.044,1.252,0.607,1.095,1.011,1.771,1.143,0.815,0.260,1.190,2.400,2.400,2.040,1.920,2.392,3.947,2.788,2.234,3.380,2.040,2.114,2.170,2.373,2.058,2.155,2.241,1.899,2.813,2.963,2.599,2.075,3.387,2.938,3.326,3.131,1.342,1.705,3.555,1.633
Negative,416.1640074,342.6197099,0.802,0.918,1.677,0.829,0.774,0.852,1.563,1.280,1.040,0.265,1.240,1.900,1.620,1.630,2.060,2.297,2.384,2.190,1.964,2.419,1.775,2.123,1.889,1.960,1.502,1.444,1.710,1.900,1.778,2.080,1.611,1.955,2.422,2.204,2.561,0.945,1.386,1.689,2.357,1.190
Negative,415.2332517,584.8953111,0.702,0.816,1.164,1.443,0.875,1.008,1.384,1.008,1.387,0.213,1.970,1.510,1.610,2.040,3.280,1.951,1.936,1.852,2.581,1.769,2.070,2.424,2.868,1.931,3.414,0.887,2.168,1.460,2.023,2.128,1.697,2.032,2.292,1.482,3.300,2.309,1.420,1.205,3.344,1.785
Negative,415.1608636,314.9218696,0.837,0.915,1.320,0.933,0.995,0.889,1.586,1.329,0.884,0.312,1.250,2.220,2.050,2.630,2.090,2.304,3.319,2.351,2.168,2.956,2.022,1.976,2.312,2.326,2.378,1.798,1.780,1.826,2.414,2.980,2.161,1.859,3.076,2.521,2.950,3.046,1.131,1.668,3.341,1.640
Negative,415.1611147,342.6346454,0.878,0.877,1.538,0.947,0.760,0.901,1.400,1.255,1.081,0.362,1.490,1.890,1.600,1.770,2.170,2.222,2.421,2.076,1.926,2.315,1.850,2.088,2.199,1.917,1.964,1.454,1.565,1.780,1.752,1.857,1.627,1.791,2.317,2.045,2.545,2.150,1.292,1.698,2.453,1.471
Negative,414.2213186,557.7832126,0.803,1.027,0.894,1.335,0.941,1.279,1.445,0.937,1.038,0.301,1.390,2.100,1.910,2.210,1.780,2.006,2.359,1.843,1.921,2.772,1.915,2.596,1.774,2.627,2.857,1.332,1.597,1.517,2.098,1.929,1.725,1.773,2.312,3.025,3.294,2.139,1.269,1.713,2.422,2.076
Negative,413.2174569,497.0100095,0.785,1.122,1.313,0.864,0.916,0.752,2.738,0.650,0.596,0.263,0.760,3.670,2.100,4.030,2.600,4.152,4.449,2.636,1.627,5.060,2.055,3.385,0.990,3.118,1.689,0.701,3.420,1.335,3.312,3.096,2.100,2.474,3.944,1.719,4.818,3.821,1.357,2.109,3.402,2.220
Negative,413.2180169,557.6116694,0.643,1.038,1.205,1.169,0.945,0.917,1.380,1.024,1.336,0.343,1.380,1.930,1.780,1.820,2.260,1.930,1.982,1.833,1.687,2.405,1.760,2.543,1.924,2.321,2.391,1.444,1.463,1.584,1.801,1.912,1.312,2.090,2.304,1.980,2.902,2.175,1.218,1.611,2.289,1.666
Negative,411.2007668,538.8418166,1.205,1.413,0.878,0.533,0.971,0.719,2.555,0.356,1.142,0.227,1.030,3.750,3.430,2.860,3.100,2.728,6.235,2.429,2.926,3.399,1.848,4.002,2.252,1.406,4.625,3.697,2.281,2.241,5.832,4.867,2.347,2.745,3.432,4.132,5.425,2.696,1.197,1.525,4.806,0.933
Negative,411.2024445,814.8319683,1.312,0.781,1.997,0.098,0.813,1.558,1.240,1.635,0.456,0.110,1.340,1.580,3.490,1.770,2.670,0.396,2.735,1.835,2.349,1.107,0.924,1.652,2.546,2.571,2.345,1.601,1.521,1.572,2.031,5.297,1.178,0.917,2.126,2.262,2.180,2.011,1.627,2.129,4.273,1.934
Negative,405.1182529,553.7727297,0.000,0.000,1.181,2.894,0.924,3.000,1.660,0.209,0.132,0.000,0.000,0.000,1.460,26.320,8.130,5.064,4.907,51.709,15.518,6.865,3.444,5.402,8.558,31.722,0.000,1.991,0.177,0.008,0.036,1.675,1.981,1.860,9.248,0.774,2.342,0.000,0.012,0.000,0.485,0.000
Negative,401.1806144,427.411874,0.550,0.731,1.345,1.655,0.719,0.956,1.306,1.023,1.573,0.143,1.790,1.730,1.220,2.160,4.020,2.398,2.122,1.996,1.729,2.866,2.199,2.516,2.401,1.745,2.277,1.343,1.203,1.252,2.137,2.308,1.209,1.934,2.466,2.709,3.763,1.942,1.152,1.569,2.988,1.394
Negative,399.165972,412.8161689,0.760,0.958,1.406,0.980,0.896,1.016,1.696,0.945,1.080,0.264,1.200,2.720,2.510,2.780,3.710,2.602,3.452,2.410,2.531,3.738,2.369,2.905,2.589,3.637,2.540,1.915,1.699,1.660,2.797,3.394,1.525,2.511,3.022,3.130,4.581,3.181,1.089,2.067,4.770,2.116
Negative,399.1656515,451.0405679,0.583,0.846,1.453,1.182,0.936,1.148,1.783,0.927,1.058,0.084,1.390,2.170,1.820,2.280,4.820,2.637,3.652,2.023,2.383,3.421,2.676,3.104,1.263,3.122,2.095,0.956,0.954,1.459,2.131,2.683,1.473,2.530,1.100,2.832,4.049,2.773,1.218,0.944,3.534,1.402
Negative,393.2650725,1575.640983,0.093,1.438,0.617,1.323,1.529,0.845,1.211,2.211,0.733,0.000,0.980,0.820,1.200,1.090,2.210,0.593,0.865,1.239,0.656,1.382,1.597,1.943,2.062,3.302,4.546,0.350,0.819,1.054,1.753,1.150,0.310,1.555,1.342,0.545,3.579,1.047,1.359,1.151,1.023,2.180
Negative,393.1893733,1157.732139,0.372,0.710,1.517,1.911,0.491,1.339,1.316,1.971,0.306,0.069,1.250,1.110,0.820,0.900,1.570,0.649,1.413,0.770,0.711,0.620,2.377,2.160,2.713,1.317,1.909,0.614,0.902,1.050,0.896,0.602,0.962,1.610,1.435,1.106,1.612,1.556,0.832,1.678,2.144,1.440
Negative,391.1612823,393.8026338,0.858,0.469,1.486,1.403,0.784,1.041,1.336,0.998,1.549,0.076,2.550,2.300,2.810,4.260,1.670,2.773,3.331,5.965,3.208,4.674,2.136,3.742,5.943,3.362,1.942,3.750,3.508,2.289,3.687,2.786,1.357,3.490,6.226,3.160,5.121,3.240,0.606,2.105,1.523,2.119
Negative,388.9384657,60.24287664,0.716,0.928,0.997,1.533,0.826,1.660,1.455,1.116,0.689,0.081,1.980,1.180,1.580,1.530,2.570,2.010,1.991,1.509,1.411,1.815,2.093,2.624,2.592,2.241,1.757,1.653,1.218,1.318,1.701,1.433,1.860,2.785,2.623,1.890,3.212,2.110,1.524,1.492,2.836,1.263
Negative,387.9405924,60.67797519,0.631,0.960,1.128,1.647,0.634,1.678,1.494,1.297,0.531,0.000,2.340,1.630,1.430,1.740,2.830,2.274,1.914,1.179,1.709,2.375,2.432,3.283,2.483,2.067,2.501,1.415,1.262,1.300,1.893,1.394,2.344,2.665,2.599,1.822,2.705,1.328,1.560,1.537,2.371,1.660
Negative,386.9394112,60.46393588,0.678,0.972,0.945,1.762,0.643,1.541,1.312,1.070,1.077,0.000,1.940,1.350,1.540,1.510,2.500,2.023,1.858,1.565,1.914,1.920,2.086,2.967,2.224,1.986,1.880,1.536,1.105,1.576,1.845,1.312,1.667,2.514,2.223,1.833,2.869,1.742,1.413,1.834,2.603,1.526
Negative,384.9816441,87.3978646,0.526,1.294,0.703,1.557,0.920,1.504,1.426,1.185,0.885,0.000,1.360,1.150,0.540,1.450,1.860,1.177,1.458,1.293,1.692,1.834,2.056,2.039,1.366,1.888,2.765,1.095,1.035,1.232,1.570,1.689,0.303,1.140,1.313,0.909,3.035,1.844,1.771,0.676,1.541,1.800
Negative,379.1869837,396.6113004,1.564,1.704,1.402,0.000,0.330,0.294,3.107,1.066,0.534,0.000,3.320,5.540,5.850,7.520,2.750,5.233,7.125,20.685,5.374,5.082,4.436,8.317,9.414,10.874,3.286,2.549,5.369,0.624,3.962,4.975,2.261,2.017,5.663,3.887,9.686,5.998,2.140,3.262,2.711,4.161
Negative,378.1850929,396.2491472,0.946,0.829,1.380,0.898,0.946,0.961,1.856,1.198,0.865,0.119,1.890,3.020,2.470,5.660,2.980,2.387,3.567,7.296,3.622,3.345,2.592,3.746,5.573,6.337,2.577,2.469,2.065,2.241,3.217,2.855,1.377,1.764,3.793,2.359,6.096,3.481,1.317,2.205,2.340,2.021
Negative,377.1816709,395.9523684,0.708,0.791,1.271,1.332,0.898,0.892,1.536,1.148,1.272,0.152,1.690,2.070,2.270,4.360,2.740,1.835,2.699,5.665,3.248,2.943,2.017,2.675,4.320,4.821,2.368,2.031,1.652,1.572,2.597,2.504,1.203,1.961,3.306,2.010,5.000,2.394,0.906,1.745,1.898,1.813
Negative,373.1856078,477.1277075,1.082,1.899,0.772,0.388,0.859,0.919,1.681,0.458,1.034,0.909,2.190,3.530,2.860,4.530,2.450,2.106,3.210,4.192,2.907,2.641,2.425,4.093,2.908,3.510,2.731,3.519,2.534,1.879,3.819,2.534,1.711,3.590,2.357,2.422,7.183,2.598,1.199,1.265,1.307,2.418
Negative,164.0711494,128.5127198,0.589,2.198,0.929,0.573,0.711,1.683,1.831,0.261,0.931,0.294,2.730,3.910,0.090,3.320,2.510,2.092,4.934,1.063,1.250,3.768,4.803,4.608,2.559,1.498,2.699,2.698,3.083,0.906,0.471,2.797,3.375,4.468,1.780,2.705,3.352,5.811,1.668,2.758,4.510,2.202
Negative,96.95903404,102.7432506,0.844,1.011,1.043,1.112,0.990,0.815,1.327,0.710,1.112,1.036,1.150,1.650,1.300,1.620,1.170,1.131,1.877,1.361,1.450,1.729,1.303,2.524,1.584,1.375,2.299,1.016,0.939,1.359,1.503,1.640,2.386,1.501,2.157,1.745,3.107,1.240,1.110,1.556,1.760,2.019
Negative,371.0982175,385.1281977,0.565,1.047,1.120,0.936,1.332,1.508,0.832,0.911,1.525,0.223,1.510,1.710,1.820,2.230,3.270,1.483,1.357,1.783,1.659,1.803,1.583,1.481,1.370,2.752,1.730,1.404,1.292,0.708,1.331,2.459,1.232,1.432,1.580,1.801,3.379,1.599,1.294,0.960,2.767,1.544
Negative,371.0516581,227.1202922,0.330,1.218,1.108,1.425,0.920,2.239,1.086,0.949,0.724,0.001,1.480,2.560,1.730,1.860,1.580,0.830,1.402,1.089,1.285,1.750,2.106,3.730,1.373,2.971,1.779,1.243,1.041,1.271,1.198,1.819,0.001,2.652,1.738,1.450,3.358,1.571,1.447,1.949,2.121,2.718
Negative,365.2686786,1474.137248,0.472,0.880,0.936,1.466,1.245,1.291,0.751,1.881,0.836,0.240,1.210,1.100,1.180,1.180,2.090,0.935,0.940,1.418,1.072,1.585,1.807,1.710,2.692,2.347,1.970,0.912,0.963,0.898,0.659,1.570,0.916,1.441,1.701,1.252,2.701,1.699,1.481,1.483,2.191,1.769
Negative,365.2343622,1496.342981,0.335,0.968,0.865,1.349,1.483,0.357,1.274,2.238,0.892,0.238,1.530,0.980,1.880,1.760,2.980,1.440,1.011,1.741,0.207,2.537,2.067,1.750,1.799,3.273,4.204,0.682,1.486,1.034,2.403,2.323,0.945,1.582,1.820,1.490,5.650,1.856,1.668,1.266,2.149,2.256
Negative,361.1865861,708.1644437,0.668,1.308,1.199,0.821,1.005,0.751,1.775,1.149,1.112,0.213,1.600,3.990,2.690,5.540,4.740,1.930,3.372,4.362,3.782,3.958,2.718,2.674,5.453,4.253,4.279,2.284,1.497,1.073,3.466,3.356,1.270,2.418,3.526,2.375,7.427,2.979,1.046,1.698,2.883,2.508
Negative,361.1862728,678.3628103,1.086,1.420,1.096,0.639,0.759,1.175,1.722,0.890,0.915,0.298,1.070,2.620,2.780,7.580,2.160,0.890,2.080,5.430,3.234,2.356,1.408,2.639,3.584,5.706,2.764,1.766,1.052,0.956,2.106,3.002,0.834,1.705,2.392,1.729,5.835,2.017,0.753,1.353,1.415,1.918
Negative,358.1958522,734.0461825,1.534,1.504,0.556,0.607,0.798,1.491,1.335,0.350,1.567,0.257,1.220,2.760,3.130,7.280,2.370,1.663,2.411,3.403,3.468,2.184,1.348,2.548,1.743,2.014,3.942,1.231,1.306,1.856,2.023,3.907,0.779,1.828,1.731,1.837,5.420,1.656,1.036,1.966,2.237,1.535
Negative,358.0931589,351.5756485,0.449,0.658,0.906,1.949,1.038,1.066,0.969,1.278,1.432,0.256,2.040,1.130,1.590,1.800,3.260,1.018,1.051,1.331,1.284,1.933,1.815,1.846,1.551,2.983,3.927,1.069,1.146,1.253,1.894,2.135,0.900,1.750,1.276,1.883,3.566,1.482,0.881,1.098,2.097,1.653
Negative,357.1920965,733.6906876,1.123,1.526,0.941,0.979,0.431,0.996,1.330,0.946,1.465,0.263,1.210,2.890,2.070,1.930,1.860,1.214,1.428,1.243,1.310,1.804,1.850,2.520,1.832,2.057,3.496,1.211,1.072,1.278,2.121,2.386,0.903,1.335,1.841,1.565,4.474,2.176,0.784,1.390,1.639,1.633
Negative,355.0918656,273.3894529,0.653,1.386,0.885,1.709,0.366,1.476,0.798,0.204,2.232,0.289,1.550,1.370,1.610,1.390,1.950,0.370,0.659,0.521,0.214,0.727,1.537,1.704,1.632,1.194,1.136,0.499,0.553,0.799,0.765,0.655,0.357,1.028,0.375,1.006,1.404,0.470,0.782,0.636,1.346,0.809
Negative,355.0584301,296.2474553,0.600,0.938,0.698,1.963,0.801,0.981,1.552,1.085,1.382,0.000,1.810,1.660,1.470,2.210,2.800,1.104,1.256,0.634,1.444,2.487,2.836,2.550,2.489,2.163,3.292,0.808,1.139,0.959,1.507,1.604,0.313,2.197,1.129,2.562,3.623,1.440,1.505,1.206,2.369,1.948
